Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
399	3704.956299	3704.37	3705.41	1	21	0.19	125.97	15.30	6482.49	674.75
400	3718.949219	3718.29	3719.46	1	108	0.99	1733.41	191.02	7246.82	11307.09
401	3734.995605	3734.48	3735.52	1	20	0.18	89.57	10.69	6577.19	329.81
402	3893.027100	3892.21	3893.47	1	34	0.31	377.27	41.69	7166.67	2706.70
403	3900.059570	3899.44	3900.54	1	25	0.23	155.86	15.62	7291.03	795.55
404	4068.133301	4067.60	4068.62	1	24	0.22	150.02	11.71	6006.88	480.43
405	4074.153076	4073.23	4074.52	1	33	0.30	325.32	26.78	6699.21	1769.74
406	4078.009033	4077.71	4078.79	1	41	0.38	309.53	13.90	6942.45	428.60
407	4244.103027	4243.74	4244.85	1	32	0.30	116.93	16.72	10177.90	630.82
408	4251.130371	4250.77	4251.85	1	49	0.45	279.74	19.24	8829.93	470.55
409	4424.228027	4423.72	4424.78	1	35	0.32	157.99	11.09	9245.73	286.92
410	4558.356445	4557.48	4558.70	1	31	0.28	197.51	12.10	7838.38	555.29
411	4676.364258	4675.78	4676.58	1	29	0.27	134.99	10.30	10478.33	481.97
412	4731.435547	4730.40	4731.65	1	33	0.30	251.90	24.31	11074.26	1667.88
413	4734.327637	4733.88	4735.01	1	104	0.96	557.49	50.03	9833.57	1735.15
414	4905.492188	4904.20	4905.65	1	24	0.22	112.46	11.14	12449.13	954.75
